x1,y1,x2,y2,len,len in meters
296,415,283,419,13.60147051,5.386254331
283,419,264,428,21.02379604,8.325534536
264,428,252,439,16.2788206,6.446499141
252,439,244,452,15.26433752,6.044758471
244,452,240,467,15.5241747,6.14765537
240,467,238,483,16.1245155,6.385393505
238,483,242,502,19.41648784,7.68903198
242,502,248,513,12.52996409,4.961932116
248,513,254,522,10.81665383,4.283452182
254,522,265,531,14.2126704,5.628292723
265,531,279,539,16.1245155,6.385393505
279,539,297,543,18.43908891,7.301976829
297,543,1051,606,756.6273852,299.6284503
1051,606,1074,606,23,9.108121767
1074,606,1096,602,22.36067977,8.854947571
1096,602,1117,593,22.84731932,9.04765941
1117,593,1138,581,24.18677324,9.578090253
1138,581,1153,567,20.51828453,8.125349302
1153,567,1168,547,25,9.900132356
1168,547,1179,527,22.82542442,9.038988913
1179,527,1186,506,22.13594362,8.765950866
1186,506,1188,481,25.07987241,9.931762253
1188,481,1187,463,18.02775638,7.139086969
1187,463,1184,447,16.2788206,6.446499141
1184,447,1176,428,20.61552813,8.163858283
1176,428,1166,412,18.86796226,7.471812946
1166,412,1157,397,17.49285568,6.92726346
1157,397,1136,379,27.65863337,10.95296525
1136,379,1116,367,23.32380758,9.236351283
1116,367,1098,359,19.6977156,7.800399662
1098,359,1073,355,25.3179778,10.02605325
1073,355,1053,355,20,7.920105884
1053,355,1042,355,11,4.356058236
1042,355,296,415,748.4089791,296.373918
